What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Caramel Apple Lollipops,Trader Joes Mac n Cheese,Dogs,Yes
Mike and Ike,Steak,Dogs,Yes
sour gummy worms,spaghetti,Cats,No
skittles,burgers,Dogs,Yes
Kit Kats,Fried rice,Cats,Yes
smart sweets gummy bears,mushroom tofu bowls,Dogs,Yes
Milk Duds,Chicken Parmesan,Cats,Yes
Snickers,Anything in my air fryer!,Dogs,Yes
I don't like candies,Dumplings,Dogs,No
Ferrero rocher,Instant ramen,Dogs,No
Swedish Fish,Lasagna,Dogs,Yes
Skittles,Spicy miso pasta,Dogs,Yes
Swedish Fish,Grilled Cheese Sandwiches (I can't cook :') ),Dogs,Yes
Kit-Kat.,Top ramen,Dogs,Yes
milky-way,vegan crunchwrap,Cats,No
Any chocolate,Pasta,Dogs,Yes
Crunch,Chicken tortillas,Cats,No
Sour Patches,Pasta,Dogs,Yes
jelly belly,Fajitas,Cats,No
Currently working through 5 pounds of peach rings,Chicken Shawarma,Cats,Yes
chocolate,Pasta,Cats,No
Twix,I'm a college student  definitely Hot Pockets.,Cats,Yes
I prefer chips:),alfredo,Cats,Yes
Flavored KitKats,mushroom stroganoff,Dogs,Yes
sour patch kids,stir fry,Cats,Yes
anything with dark chocolate and coffee,some type of sandwich  probably,Dogs,Yes
Lindor Milk Chocolate,Pizza,Dogs,No
Lindor chocolate,Buryani - it's a mixed rice dish with a lot of spices,Neither,Yes
Reese's Peanut Butter Cups,grilled cheese with tomato soup,Neither,Yes
Kit-Kat,Pho,Dogs,Yes
Haribo gummy bears,Baked salmon,Cats,Yes
Toblerone,Homemade Pizza,Dogs,No
Hershey's Cookies 'n' Creme,Chicken Steak,Cats,No
Kit-kat,Macaroni and Cheese,Dogs,Yes
Semi-sweet dark chocolate,Chana Masala,Cats,No
twix,eggs  avocado  rice and ketchup,Cats,Yes
Jolly ranchers,Japanese curry,Neither,Yes
If chocolate counts  then snickers. Otherwise  red vines.,Green curry + white rice,Dogs,No
